-1.388152712024748325e-03,-1.893656887114048004e-02,7.305617332458496094e-01,6.839127093553543091e-02,1.843535713851451874e-02,-8.328470587730407715e-01,5.489522218704223633e-01,-1.259439140558242798e-01,-1.722229085862636566e-02,1.637950688600540161e-01,5.798144936561584473e-01,-5.075312256813049316e-01,9.678246825933456421e-02,-5.048434734344482422e-01,-1.110471934080123901e-01,-2.218456119298934937e-01,7.559500336647033691e-01,-3.416111767292022705e-01,5.203403159976005554e-02,-4.528166353702545166e-02,5.717373639345169067e-02,1.440341770648956299e-01,-1.570136547088623047e-01,2.438636869192123413e-01,-3.871745169162750244e-01,8.110284805297851562e-01,1.498402953147888184e-01,-1.372402459383010864e-01,6.909034401178359985e-02,-6.367789953947067261e-02,-2.951260507106781006e-01,3.524089455604553223e-01,1.062368869781494141e+00,-1.078343540430068970e-01,-2.975416556000709534e-02,-8.682554215192794800e-02
1.376162865199148655e-03,-2.283878624439239502e-02,7.284078598022460938e-01,7.797245681285858154e-02,2.106669545173645020e-02,-8.280457258224487305e-01,5.548123717308044434e-01,-1.645548790693283081e-01,-2.142409607768058777e-02,1.847644746303558350e-01,6.166753172874450684e-01,-5.356842875480651855e-01,1.041328981518745422e-01,-5.780848264694213867e-01,-1.445498466491699219e-01,-2.340283393859863281e-01,8.504928946495056152e-01,-3.598461449146270752e-01,5.113394185900688171e-02,-5.752842128276824951e-02,5.606461316347122192e-02,1.268413215875625610e-01,-2.124165743589401245e-01,2.570430934429168701e-01,-3.959710001945495605e-01,7.885503172874450684e-01,1.606450676918029785e-01,-1.687684208154678345e-01,8.223625272512435913e-02,-8.151449263095855713e-02,-2.888507544994354248e-01,3.459389805793762207e-01,1.118973731994628906e+00,-1.029491201043128967e-01,-5.205824598670005798e-02,-8.696203678846359253e-02
3.605661215260624886e-03,-3.432982042431831360e-02,7.304115891456604004e-01,8.652658015489578247e-02,2.390157803893089294e-02,-8.229546546936035156e-01,5.609701275825500488e-01,-1.699771732091903687e-01,-3.936704248189926147e-02,1.846684366464614868e-01,6.075552105903625488e-01,-5.195649862289428711e-01,1.036178618669509888e-01,-6.163398623466491699e-01,-1.700606793165206909e-01,-2.515874207019805908e-01,9.119468331336975098e-01,-3.593797683715820312e-01,4.980186000466346741e-02,-6.393242627382278442e-02,5.850955843925476074e-02,1.099133491516113281e-01,-2.591554224491119385e-01,2.865763306617736816e-01,-3.965091407299041748e-01,6.989665031433105469e-01,1.553607583045959473e-01,-1.923934966325759888e-01,8.982655405998229980e-02,-7.162892073392868042e-02,-2.951186597347259521e-01,3.349845707416534424e-01,1.142534494400024414e+00,-9.872242063283920288e-02,-5.589918419718742371e-02,-6.692428886890411377e-02
-5.898339208215475082e-03,-5.541609972715377808e-02,7.349072694778442383e-01,9.510907530784606934e-02,2.680315636098384857e-02,-8.136478662490844727e-01,5.728988051414489746e-01,-1.583281308412551880e-01,-4.546761885285377502e-02,1.959318369626998901e-01,5.901225805282592773e-01,-4.633229374885559082e-01,1.096904426813125610e-01,-6.382500529289245605e-01,-1.858386695384979248e-01,-2.543265223503112793e-01,9.575979113578796387e-01,-3.451350033283233643e-01,5.141829326748847961e-02,-7.693048566579818726e-02,6.170122697949409485e-02,9.088966250419616699e-02,-2.877785563468933105e-01,3.279706537723541260e-01,-3.869724273681640625e-01,5.687828063964843750e-01,1.419983804225921631e-01,-2.162919193506240845e-01,9.082096815109252930e-02,-5.535738170146942139e-02,-3.125876188278198242e-01,3.208665847778320312e-01,1.157441377639770508e+00,-9.876657277345657349e-02,-5.864520370960235596e-02,-3.472638875246047974e-02
-1.750999689102172852e-02,-7.900516688823699951e-02,7.393559813499450684e-01,1.004300788044929504e-01,2.819659933447837830e-02,-8.094841241836547852e-01,5.778012275695800781e-01,-1.558927297592163086e-01,-6.444608420133590698e-02,1.682544499635696411e-01,5.935993194580078125e-01,-3.901797533035278320e-01,9.345009922981262207e-02,-6.435980200767517090e-01,-1.662704348564147949e-01,-2.377993911504745483e-01,9.796708226203918457e-01,-3.141102194786071777e-01,6.450679153203964233e-02,-7.966012507677078247e-02,6.782748550176620483e-02,7.341947406530380249e-02,-3.000575900077819824e-01,3.771339952945709229e-01,-3.712922930717468262e-01,4.088455736637115479e-01,1.091969683766365051e-01,-2.476939260959625244e-01,8.350784331560134888e-02,-2.682035975158214569e-02,-3.258064389228820801e-01,3.179953098297119141e-01,1.151592731475830078e+00,-8.981879055500030518e-02,-6.195555254817008972e-02,-9.881478035822510719e-04
-3.031659871339797974e-02,-1.043813675642013550e-01,7.418084144592285156e-01,1.040934175252914429e-01,2.942301519215106964e-02,-8.088478446006774902e-01,5.779827237129211426e-01,-1.772203743457794189e-01,-8.487361669540405273e-02,1.184367090463638306e-01,6.329609751701354980e-01,-3.102926015853881836e-01,5.224306881427764893e-02,-6.277964115142822266e-01,-1.298422217369079590e-01,-2.144344151020050049e-01,9.771351814270019531e-01,-2.708680927753448486e-01,6.981703639030456543e-02,-6.940981745719909668e-02,7.986727356910705566e-02,5.547978729009628296e-02,-2.893833518028259277e-01,4.236095845699310303e-01,-3.716278672218322754e-01,3.154247105121612549e-01,9.733342379331588745e-02,-2.675087153911590576e-01,8.203513920307159424e-02,2.236723201349377632e-03,-3.360614180564880371e-01,3.207733631134033203e-01,1.146920919418334961e+00,-7.556708902120590210e-02,-6.870365887880325317e-02,1.718484237790107727e-02
-4.335064068436622620e-02,-1.298312544822692871e-01,7.400540113449096680e-01,1.005342751741409302e-01,3.515109419822692871e-02,-8.088179826736450195e-01,5.783344507217407227e-01,-2.203544676303863525e-01,-9.312810748815536499e-02,7.534422725439071655e-02,7.335453629493713379e-01,-2.601230442523956299e-01,1.753829978406429291e-02,-5.926988720893859863e-01,-8.406074345111846924e-02,-1.896658390760421753e-01,9.616308212280273438e-01,-2.376266866922378540e-01,7.678288966417312622e-02,-5.308860540390014648e-02,9.797938168048858643e-02,3.839737176895141602e-02,-2.704587578773498535e-01,4.749450087547302246e-01,-3.723741769790649414e-01,2.367122173309326172e-01,8.120600134134292603e-02,-2.810536623001098633e-01,8.340702950954437256e-02,2.968386001884937286e-02,-3.500287532806396484e-01,3.265640139579772949e-01,1.135982632637023926e+00,-5.829222500324249268e-02,-6.947723776102066040e-02,2.500863745808601379e-02
-5.543589591979980469e-02,-1.524748057126998901e-01,7.323922514915466309e-01,9.682703018188476562e-02,4.063849523663520813e-02,-8.111661076545715332e-01,5.753108859062194824e-01,-2.829569876194000244e-01,-8.235785365104675293e-02,6.948845088481903076e-02,9.045095443725585938e-01,-2.410500496625900269e-01,2.549598691985011101e-03,-5.488196015357971191e-01,-4.791077971458435059e-02,-1.713824123144149780e-01,9.437116980552673340e-01,-2.799590528011322021e-01,5.748929455876350403e-02,-2.878124080598354340e-02,1.098605617880821228e-01,2.900643274188041687e-02,-2.312236428260803223e-01,5.321173071861267090e-01,-3.672378361225128174e-01,2.061941623687744141e-01,6.398931145668029785e-02,-2.740971148014068604e-01,8.905760943889617920e-02,4.590934514999389648e-02,-3.593828380107879639e-01,3.248263001441955566e-01,1.104243159294128418e+00,-3.292642906308174133e-02,-6.544556468725204468e-02,2.024728804826736450e-02
-6.523094326257705688e-02,-1.710793226957321167e-01,7.194761633872985840e-01,9.267789125442504883e-02,4.670782387256622314e-02,-8.146942257881164551e-01,5.705283284187316895e-01,-3.708677589893341064e-01,-5.154578015208244324e-02,8.500841259956359863e-02,1.157135009765625000e+00,-2.494701147079467773e-01,3.960421308875083923e-03,-5.033696293830871582e-01,-2.120941691100597382e-02,-1.587422937154769897e-01,9.453213214874267578e-01,-4.265768229961395264e-01,2.631139010190963745e-03,-4.782236646860837936e-03,1.165027320384979248e-01,3.476532548666000366e-02,-1.818829476833343506e-01,5.948274135589599609e-01,-3.658501803874969482e-01,2.284243851900100708e-01,4.824712499976158142e-02,-2.519654333591461182e-01,1.001442149281501770e-01,3.582963347434997559e-02,-3.726475238800048828e-01,3.170062303543090820e-01,1.083490014076232910e+00,-1.770070567727088928e-02,-5.433509498834609985e-02,-1.040497887879610062e-02
-7.458854466676712036e-02,-1.862001121044158936e-01,7.072790861129760742e-01,9.352418035268783569e-02,4.986706748604774475e-02,-8.211411237716674805e-01,5.607974529266357422e-01,-4.738779962062835693e-01,2.969319932162761688e-03,1.179464235901832581e-01,1.393161296844482422e+00,-3.194747269153594971e-01,4.148790240287780762e-02,-4.705922305583953857e-01,2.149506239220499992e-03,-1.470384299755096436e-01,9.505488872528076172e-01,-5.599359869956970215e-01,-3.369154036045074463e-02,1.574708707630634308e-02,1.092372089624404907e-01,5.738140642642974854e-02,-1.233941316604614258e-01,6.666639447212219238e-01,-3.411324322223663330e-01,3.006605505943298340e-01,4.754976183176040649e-02,-2.136210352182388306e-01,1.077212616801261902e-01,-4.011114360764622688e-04,-3.836819827556610107e-01,3.114503026008605957e-01,1.071375846862792969e+00,-1.144802570343017578e-02,-4.413303360342979431e-02,-3.674003481864929199e-02
